zaman_damgasi,zaman_str,lat,lon,alt_m,hiz_ms,dikey_hiz_ms,yaw_derece,pitch_derece,roll_derece,batarya_v,batarya_yuzde,mod,arm,uydu_sayisi,hdop,gorev_notu
1780330808.652,2026-06-01 19:20:08.652,37.573,36.918,2.5,2.0,-0.35,201.0,-0.1,-1.2,16.79,99,GUIDED,True,15,1.45,
1780330808.675,2026-06-01 19:20:08.674,37.573,36.918,5.0,2.0,-0.3,116.9,4.8,-1.9,16.78,99,GUIDED,True,11,1.05,
1780330808.695,2026-06-01 19:20:08.695,37.573,36.918,7.5,2.0,-0.04,178.5,-2.6,0.9,16.76,98,GUIDED,True,16,1.42,
1780330808.716,2026-06-01 19:20:08.716,37.573,36.918,10.0,2.0,0.01,207.9,1.2,2.8,16.75,98,GUIDED,True,13,1.4,
1780330808.737,2026-06-01 19:20:08.737,37.573,36.918,12.5,2.0,-0.22,80.8,5.0,-2.2,16.74,97,GUIDED,True,15,1.41,
1780330808.758,2026-06-01 19:20:08.757,37.573,36.918,15.0,2.0,-0.32,21.5,4.5,3.8,16.73,97,GUIDED,True,13,1.16,
1780330808.778,2026-06-01 19:20:08.778,37.573,36.918,17.5,2.0,-0.27,264.8,-2.9,-3.6,16.72,96,GUIDED,True,12,1.01,
1780330808.799,2026-06-01 19:20:08.799,37.573,36.918,20.0,2.0,0.16,138.7,-4.4,2.9,16.7,96,GUIDED,True,10,0.98,
1780330808.82,2026-06-01 19:20:08.820,37.573,36.918,22.5,2.0,-0.4,249.6,3.5,0.0,16.69,96,GUIDED,True,10,1.15,
1780330808.841,2026-06-01 19:20:08.840,37.573,36.918,25.0,2.0,0.4,50.8,4.1,-1.4,16.68,95,GUIDED,True,11,1.18,
1780330808.862,2026-06-01 19:20:08.861,37.573,36.918,27.5,2.0,-0.01,236.9,3.8,-2.7,16.67,95,GUIDED,True,12,1.31,
1780330808.882,2026-06-01 19:20:08.882,37.573,36.918,30.0,2.0,-0.16,131.2,-4.1,-0.5,16.66,94,GUIDED,True,16,1.0,
1780330808.903,2026-06-01 19:20:08.903,37.573,36.918,32.5,2.0,-0.04,239.1,2.0,3.3,16.64,94,GUIDED,True,15,0.91,
1780330808.924,2026-06-01 19:20:08.923,37.573,36.918,35.0,2.0,0.45,10.1,1.0,-1.1,16.63,93,GUIDED,True,10,0.93,
1780330808.945,2026-06-01 19:20:08.944,37.573,36.918,37.5,2.0,0.44,253.0,3.8,1.0,16.62,93,GUIDED,True,13,1.44,
1780330808.966,2026-06-01 19:20:08.965,37.573,36.918,40.0,2.0,0.28,39.2,-3.4,0.9,16.61,93,GUIDED,True,13,1.12,
1780330808.986,2026-06-01 19:20:08.986,37.573,36.918,42.5,2.0,-0.24,289.3,2.8,-3.5,16.6,92,GUIDED,True,13,1.08,
1780330809.007,2026-06-01 19:20:09.007,37.573,36.918,45.0,2.0,-0.18,183.8,0.6,-0.1,16.58,92,GUIDED,True,14,1.48,
1780330809.028,2026-06-01 19:20:09.028,37.573,36.918,47.5,2.0,-0.24,350.5,-3.9,4.8,16.57,91,GUIDED,True,12,1.48,
1780330809.049,2026-06-01 19:20:09.048,37.5730399,36.9179975,48.24,7.62,-0.09,55.2,-1.6,0.7,16.56,91,GUIDED,True,12,1.44,
1780330809.07,2026-06-01 19:20:09.069,37.573022,36.9180454,49.0,6.13,-0.37,4.2,1.4,-2.0,16.55,90,GUIDED,True,11,1.3,
1780330809.09,2026-06-01 19:20:09.090,37.5730572,36.9180789,48.16,6.85,0.33,254.6,2.9,0.3,16.54,90,GUIDED,True,15,1.17,
1780330809.111,2026-06-01 19:20:09.111,37.5730836,36.9180761,48.81,10.45,-0.33,288.3,2.7,0.2,16.52,90,GUIDED,True,15,1.29,
1780330809.132,2026-06-01 19:20:09.132,37.5731066,36.9180676,49.56,8.41,0.28,271.9,1.0,3.4,16.51,89,GUIDED,True,11,0.97,
1780330809.153,2026-06-01 19:20:09.152,37.5731296,36.9180783,49.81,6.21,0.3,345.3,-1.6,1.2,16.5,89,GUIDED,True,12,1.14,
1780330809.174,2026-06-01 19:20:09.173,37.5731481,36.9180515,49.58,10.35,0.0,322.9,2.9,-2.1,16.49,88,GUIDED,True,15,1.34,
1780330809.194,2026-06-01 19:20:09.194,37.5731184,36.9180269,48.8,5.83,0.26,28.9,1.2,1.1,16.48,88,GUIDED,True,12,1.09,
1780330809.215,2026-06-01 19:20:09.214,37.5731039,36.918043,49.42,5.2,0.25,223.9,4.8,-2.3,16.46,87,GUIDED,True,16,1.07,
1780330809.236,2026-06-01 19:20:09.235,37.5730778,36.9180595,48.71,6.77,0.34,308.0,-1.7,0.6,16.45,87,GUIDED,True,14,1.03,
1780330809.256,2026-06-01 19:20:09.256,37.5731054,36.9180759,48.41,9.86,0.12,347.6,3.9,2.7,16.44,87,GUIDED,True,15,1.05,
1780330809.277,2026-06-01 19:20:09.277,37.5731097,36.918061,48.91,8.59,-0.28,299.8,0.8,-4.8,16.43,86,GUIDED,True,15,1.11,
1780330809.298,2026-06-01 19:20:09.298,37.5731409,36.91811,49.59,10.53,-0.03,259.1,2.2,-1.8,16.42,86,GUIDED,True,10,0.9,
1780330809.319,2026-06-01 19:20:09.318,37.573146,36.9180863,50.36,7.27,0.08,234.4,0.6,3.5,16.4,85,GUIDED,True,12,0.91,
1780330809.339,2026-06-01 19:20:09.339,37.573189,36.9181234,50.32,9.2,0.32,302.0,4.4,-1.5,16.39,85,GUIDED,True,16,1.49,
1780330809.36,2026-06-01 19:20:09.360,37.5732174,36.9181677,50.17,11.44,-0.06,107.5,-2.3,4.4,16.38,84,GUIDED,True,16,1.01,
1780330809.381,2026-06-01 19:20:09.381,37.5732073,36.9181777,49.88,7.63,0.03,343.6,3.6,1.9,16.37,84,GUIDED,True,13,1.43,
1780330809.402,2026-06-01 19:20:09.401,37.5732152,36.9182213,49.41,9.72,0.47,278.2,1.5,-4.1,16.36,84,GUIDED,True,10,1.26,
1780330809.423,2026-06-01 19:20:09.422,37.5732459,36.9182486,50.05,6.11,0.36,85.5,0.4,3.6,16.34,83,GUIDED,True,11,1.48,
1780330809.444,2026-06-01 19:20:09.443,37.5732865,36.9182462,50.01,11.02,-0.11,163.9,-4.8,-1.8,16.33,83,GUIDED,True,14,1.24,
1780330809.464,2026-06-01 19:20:09.464,37.5733317,36.9182388,49.6,7.79,0.1,124.9,2.0,0.1,16.32,82,GUIDED,True,15,1.23,
1780330809.485,2026-06-01 19:20:09.485,37.5733543,36.9182461,50.04,9.61,-0.03,317.7,-0.2,1.9,16.31,82,GUIDED,True,15,1.18,
1780330809.506,2026-06-01 19:20:09.505,37.5733473,36.9182581,49.75,5.95,0.08,312.8,0.6,-1.6,16.3,81,GUIDED,True,14,1.13,
1780330809.527,2026-06-01 19:20:09.526,37.5733351,36.9182695,49.82,7.12,-0.25,297.5,-3.6,-3.5,16.28,81,GUIDED,True,14,1.2,
1780330809.547,2026-06-01 19:20:09.547,37.5733634,36.9182516,49.34,7.56,-0.07,243.9,-3.1,-0.8,16.27,81,GUIDED,True,10,1.43,
1780330809.568,2026-06-01 19:20:09.568,37.5734117,36.918252,48.41,7.36,0.03,213.7,-0.0,-0.5,16.26,80,GUIDED,True,15,1.09,
1780330809.589,2026-06-01 19:20:09.588,37.5734041,36.9182568,47.77,10.12,0.47,290.1,-3.1,-4.9,16.25,80,GUIDED,True,14,1.41,
1780330809.61,2026-06-01 19:20:09.609,37.5734155,36.9182521,47.98,5.96,-0.38,338.3,-3.0,-0.3,16.24,79,GUIDED,True,16,0.92,
1780330809.631,2026-06-01 19:20:09.630,37.5734177,36.9182832,48.05,11.92,-0.07,309.7,-3.0,-3.4,16.22,79,GUIDED,True,10,1.04,
1780330809.651,2026-06-01 19:20:09.651,37.5734481,36.9183144,47.81,10.99,-0.32,98.8,-4.1,-3.0,16.21,78,GUIDED,True,15,1.46,
1780330809.672,2026-06-01 19:20:09.671,37.5734358,36.9183516,48.68,10.76,-0.28,78.7,3.7,-2.1,16.2,78,GUIDED,True,11,1.0,
1780330809.693,2026-06-01 19:20:09.692,37.573447,36.9183709,47.77,8.97,-0.39,111.8,0.4,1.3,16.19,78,GUIDED,True,10,1.1,engel tespit
1780330809.714,2026-06-01 19:20:09.713,37.5734698,36.9183961,48.17,7.36,0.25,300.6,-4.6,-1.8,16.18,77,GUIDED,True,14,0.98,
1780330809.735,2026-06-01 19:20:09.734,37.5735072,36.9183822,48.54,10.83,0.04,12.6,-4.7,1.1,16.16,77,GUIDED,True,15,1.44,
1780330809.756,2026-06-01 19:20:09.755,37.5734937,36.9184183,48.19,7.57,0.17,299.0,0.9,3.1,16.15,76,GUIDED,True,13,0.97,
1780330809.777,2026-06-01 19:20:09.776,37.5735068,36.9184098,47.53,9.47,0.48,216.8,-3.4,3.9,16.14,76,GUIDED,True,16,1.04,
1780330809.798,2026-06-01 19:20:09.797,37.5734861,36.9184235,46.72,10.17,-0.03,158.8,-1.9,1.1,16.13,75,GUIDED,True,13,1.03,
